,,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,,
Block,From,MAIN LONG,APCH PRIC,APCH SMMA,MCLI APCH,APCH DORS,UNIV RURL,COLL &5ST,MILL 3ST,WASH CENT,PRST WASH,44ST WASH,WASH 38ST,24ST JEFF,JEFF 12ST,JEFF 3ST,1AVE JEFF,1AVE &VAN,CENT ROOS,CENT McDO,CENT ENCT,CENT THOM,CENT OSBR,CENT INDN,CENT CAMP,CENT CAML,7AVE CAML,19AV CAML,19AV MONT,,To
8,(349;00a RLMF),,,,,,,,,,,359;40a,401;25a,405;25a,409;10a,412;10a,414;10a,416;10a,418;10a,420;10a,422;10a,424;10a,426;10a,428;10a,430;10a,432;10a,434;10a,436;40a,439;00a,,
9,(409;00a RLMF),,,,,,,,,,,419;40a,421;25a,425;25a,429;10a,432;10a,434;10a,436;10a,438;10a,440;10a,442;10a,444;10a,446;10a,448;10a,450;10a,452;10a,454;10a,456;40a,459;00a,,
10,(429;00a RLMF),,,,,,,,,,,439;40a,441;25a,445;25a,449;10a,452;10a,454;10a,456;10a,458;10a,500;10a,502;10a,504;10a,506;10a,508;10a,510;10a,512;10a,514;10a,516;40a,519;00a,,
12,(439;00a RLMF),,,,,,,,,,,449;40a,451;25a,455;25a,459;10a,502;10a,504;10a,506;10a,508;10a,510;10a,512;10a,514;10a,516;10a,518;10a,520;10a,522;10a,524;10a,526;40a,529;00a,,
1,,440;00a,442;15a,444;40a,446;25a,448;10a,451;10a,453;40a,455;40a,459;25a,501;05a,505;25a,507;25a,511;25a,515;10a,518;10a,520;10a,522;10a,524;10a,526;10a,528;10a,530;10a,532;10a,534;10a,536;10a,538;10a,540;10a,542;40a,545;00a,,
2,,500;00a,502;15a,504;40a,506;25a,508;10a,511;10a,513;40a,515;40a,519;25a,521;05a,525;25a,527;25a,531;25a,535;10a,538;10a,540;10a,542;10a,544;10a,546;10a,548;10a,550;10a,552;10a,554;10a,556;10a,558;10a,600;10a,602;40a,605;00a,,
3,,520;00a,522;15a,524;40a,526;25a,528;10a,531;10a,533;40a,535;40a,539;25a,541;05a,545;25a,547;25a,551;25a,555;10a,558;10a,600;10a,602;10a,604;10a,606;10a,608;10a,610;10a,612;10a,614;10a,616;10a,618;10a,620;10a,622;40a,625;00a,,
4,(550;00a RLMF),,,,,,,,,,,600;40a,602;25a,606;25a,610;10a,613;10a,615;10a,617;10a,619;10a,621;10a,623;10a,625;10a,627;10a,629;10a,631;10a,633;10a,635;10a,637;40a,640;00a,,
5,,540;00a,542;15a,544;40a,546;25a,548;10a,551;10a,553;40a,555;40a,559;25a,601;05a,605;25a,607;25a,611;25a,615;10a,618;10a,620;10a,622;10a,624;10a,626;10a,628;10a,630;10a,632;10a,634;10a,636;10a,638;10a,640;10a,642;40a,645;00a,,
